category,text
Positive , neraya neraya neraya neraya neraya neraya
Positive , Kadaram Kondan south indian cinema Vendran engal chiyaan vikram
Positive , Adda adda da rajni sir rajni Sir da super superooooooo
Positive , Inthaa year namaku 2 deepavali 2 pongal....
Positive , No 1 trending again Vara vainga friends
Negative , kelatu punda makaluku oru nalathu panala suyanalavathi pundaaa mavan
Positive , THALA I love you Marana Mass
Positive , I think it is same like pink movie.
not-Tamil , Akshay Kumar fan's like kar do
Positive , Enaku apdiye padaiyappa second half Rajini ya patha mariye iruku  can't wait for fdfs
not-Tamil , Ithu muzhukka muzhukka thamizhil eduka patta oru aangila thiraipadam
Negative , Karumam Maari irukku Ajith oda dialogue delivery
not-Tamil , Rajani same pavankalyan attitude la untundi
Mixed_feelings , Mass sk Anna vera level I love Anna padam vera levela irukkua poguthu
Positive , Vikram Sir u r a pure fire
Positive , Tamil natla chiyan sir ahla mattum than ipadi hollywood range la nadika mudium ithu unmathanee
Positive , Epo trailer pathuttu erukinge like podunge
unknown_state , Padam partha pinnadiyum trailer semmaiya iruku
Positive , Semmmmaaaa masssss ss thalaiva..... Dialogue ella mirattal
Negative , Ennada ipadi yeduthu vechurkingha ......paaaaaaaaaph
Positive , G.V.P paithiya kara nee mooditu Music eh podu  Maallaaaaa Bgm
Positive , GV prakash in Bgm padathuku extra strength
Positive , Sivakumar sir iruntha Ella phone ayum thativitu kathaya mudichirparu
not-Tamil , Kuch samajh nhi aaya per trailer dekh kar yesa laga pink movie ka remake hai
Positive ," Nammakitta kaadu irundha eduthukuvanunga, rupa irundha eduthukuvanunga, padipu irundha yavanalum edukamudiyadhu....."
Positive , Ennada  “ellam Avan seyal “ movie remake ka?..
Positive , No 1 trending in Sri Lanka
Negative , Remake of (pink Bollywood movie) Yanna raaskala mind it
Positive , Rajinikanth and Akshay kumar  Ke fans hit likes.........   Superhit trailer......
Positive , What did you say Mrs.Meera Krishanana Ippudi neryea Neryea Neryea...
Mixed_feelings , Shankar oru scientist nasa la work panna vendiya varu cinimala work pandraru.
Positive , Pakka mass is my super star
Positive , July1 20M vivews varum 1M likes um senthu varum
not-Tamil , chiyaan vikram hindi fans like here
Positive , petta petta petta petta petta petta
Positive , Eyyyyyy inda no1 no2 ellam paapa vilayattu  ennakume thalaivar than no1 super one understand
Positive , Azalagana styleah na  Rajini... Remembering his love flims..
Positive , Thala August padam vatatum namma mass katrom..
unknown_state , Yarellem notice panninga  seathupathi bgm in sangatamilan
Positive , Karthick Subbaraj unmayana thalaivara veriyan nu katitinga great...thalaivar Style la solnamna hats off karthick
Negative , Ena da apo apo viswasam theme varudhu
Positive , thala tha ennoda uyir daa   ajith Anna neega vera leave
Positive , Am thalapathy veriyan  Anna asuranuku marana waiting
Mixed_feelings , Vijay & SK Mutual Fans Like pannunga...
Positive , Ipppadi neraya neraya neraya vera vera vera level
Positive , Vfx work is Awesome like Hollywood movie
Positive , Thala vera vera vera level
Positive , August la padam varatum Nama than gethunu kamikkurom
Positive , Sorry pa Hollywood pakam vandite pola
unknown_state ," 2:10 ""jeikaromo ilaiyo.... mothala sanda seiyanum"" ....resemblance"
Positive , #1 trending in #Srilanka  #3 trending in Malaysia  #9 trending in India
Negative ," Priyanka ,ellam avan seyal pola ullathu"
Positive , Super star ka super style
Positive , Ithukkum dislike podravangala nenacha than
not-Tamil , pwli ..  കിടു ..  anyayam
Positive , nerkonda paruvai ipdi vaikkanum nalla Tamil Peruna.
Negative , Bigil ku pee pee ya oooooo oooooo
Negative , Enna da kadaisila kaththi bgm varthu
Mixed_feelings , Orutharu mela viswasam katthurethu kaage yen ennoruthareh aasingam paduturingge!!!
Positive , Vera level la iruku... Waiting for release
Negative , bgm kgf bgm modified mathiri iruku
Positive , Tharamaama sambavam irukku 6 clock ku   Kaathiruppom
Positive , Let's make the likes to 1.2 million likes
Positive , Kaala na mass aah irukkanum  Kaali na massum classsum irukkanum
Negative , dislike potavanlam..... Setthuru..... summava Bigil team late release ku paechu vaarthai nadathinaanga... Trailer therkidhu.. Sure shot saravedi
Mixed_feelings , 1m views =500k likes Now 4.6m views = still 580k likes  Something wrong
Mixed_feelings , This moive like Sri hari's Telugu movie Sri mahalashmi
Positive , Sk padam trailer ah vida ithu Semmiya Iruku
Positive , Thala fans ellm trailer like pannunga bro
Positive ," Rajini eh vaee sight adikaavechtangalaee..he looks handsome ,..makeupartist"
Positive , Semma semma CG AND SEMMA BACKGROUND
not-Tamil ," u kena tunggu lama lagi untuk tau saya, you have to wait more to know who I am...."
Positive , Odi pathugiru vaarthu thalaivarin petta !!! .... parak
Negative , Bigil koodaye modhurapdi adhu .....   Idhuthanda verithanam
Positive , Naan oru thalapathy fan aanaa naan 100times mella paathirupan...aaana likes views romba kammi
Positive , Love u dhanush anna semma massss
Positive , Bgm from 0.38 to 0.58 vere level
not-Tamil , ಐ ಲವ್ ಯು ತಲೈವಾ... Superstar...  only  one.... ರಜಿನಿ ಕಾಂತ್
Positive , Thala time agiduchi kannu eriyuthu tomorrow vanthu ungalai parkkiren Thala I love you
Positive , Semma trailer paka mass !!
Mixed_feelings , Likes yaru vanguranganu mukkiyam illa box office than mukkiyam athula thalaivarae adika mudiyathanu pari right hit like
unknown_state , Ithuvum kadaikutty Singham Mari jathi padama?🤔
Positive , National award miss aagathuu indha time
Positive , On fire thailaivar...sirapana tharamana sambavangaka inime thaan pakaporinga
Positive , Crime side movie am love it.RATCHASAN mathiri irukkunumnu aasapadraah...
Positive , Angali pangali anaivarukkum Kalai Vanakam
Positive , adithya varma - Kadaram kondan  rendum onnukonnu salachathilla  appavum pullayum kalakuraangale daily yar videova 1st pakrathunu doubt varum
Positive , Daiiii dislike poturanga koinjam pathutu potunga da
unknown_state , Petta 10 thadawaiku mela pathavaga like pannuga
Positive , Teejay fans like here 🥰🤩 I love teejay songs
Positive , Yappa Vera level pa marana waiting
not-Tamil , Trailer itna mst hai to movie kitna gjb hoga yaar
unknown_state , Kaithi audience responce.   Pls subscribe
Positive , Thalaivaa..... Love uno words hyo paaaah🤩🤘
Positive , Oruthar maela viswasata kamika innoruta asinga padata kudadhu sema dialogue 🤘
Positive , Thala yoda ovevoru dialogue delivery um sema mass vera level Goosebumps overloaded
Positive , viswasam Ku irundha opening iduku illa y🤔.still only 10 M.viswasam trailer 14 M in one day.edo onu miss aavudu
Positive , Neenga velayadanathu enkitta illa yeman kitta  Only one dialogue is enough  chiyaan uyir
Positive , super star king of kings forever
Mixed_feelings , Nivetha suit aachu ...But rashi kanna nalla illa....
Mixed_feelings , Ellam avan seiyal nu oru padatha nyabaga paduthudu
unknown_state , Yaarukellam Kabali and Kaala pudikkum...
not-Tamil , Like karo share karo Apne what's up grp me
unknown_state , Diwaliku varama eruntha good elladi summa vasool kuranji flop akathan
not-Tamil , Rajni sir hain to aur kuch nahi chaiye.
Negative , Surya annan uyirr & karthi annan chank
Positive , Simple Ah sollanumna Kola Mass Trailer Enna Acting ya manushan
Positive , Ner Konda Parvai.. Thalaku Suitableana Title
Negative , Who all agree Vijay sethupathi ku inda mari dance set aagala nh
unknown_state , Pink movie ka remake lag rha hai
Positive , pollachi matar  nakeeran kopal in sapot  dialog
Mixed_feelings , Pool maari irruku padam omna dhan podhu
unknown_state , Kaithi-ku CONGRATULATIONS  T-64 ku ALL THE BEST.
Positive , 1 like nawaj bhai k liye
unknown_state , 19.2k views to 12M  ......
Positive , Thalaivar cinema la irukura varai avar thaan eppoum ennaikum Super
Positive , Intha Super Star thaaan engaluku venum  90's kids fav
Positive , kochadaiyan football adraaru anga oru trailerla
Positive , @1:40 enna harris bgm lam varudhu :) ?? Therikkudhu Yuvan bgm..
Positive ," Sarkar teaser record safe🤗  Naanga Telugu teaser and Hindi teaser potta , neenga kaaaname poyivudum"
Negative , Yo eth vand anyama erkk lle
Positive , Thala fan nu sollum pothu perumaiya irukku
Positive , appadiye ean channel ku oru sub podunga
Positive , Pls guys make it 1m likes....
Positive , waннн waннн waннн тнala тнala тнala   enge тнala nale мaѕѕ тan..  ѕeммeeee
unknown_state , Dai Viswasam teaser enge daw
Positive , Yuvan Fans    Hit Like
Mixed_feelings , Hero vera yar na podunga pa plz
Negative , To haters in Lollu sabha style : Arivu ketta eruma maadu
Positive , Paah samma well known dialogue well said padippa yaralayum thirida mudiyathu
Positive , 1.8 m reach sema eppadina 100m Vara vekkano
Mixed_feelings , I love u thalaiva neenga eppavum mass nee va thalaivaaaaa
Positive , Thelivaaa marana mass ah iruku
Positive , mass's INA ethu thanta thalaivaruta othunguta
Positive ," Trailer nalla iruku, padam nalla irukanum.... ambutu than solliputten"
Positive , Thala mass yuvan bgm vera level suriya fan
Negative , Dislike pottaven la ratham kakki saven
Positive ," Sema trailer cinematography therikuthu, bayangaramana oru mass plus thriller movie kaathuttu irukku."
Positive ," Orutthar Mela viswasam kaadrathala .....  Innorutthara Yan asinga paduthureenga .....  Dai ungalathanda THALA ,THALAPATHY FANS"
Positive , Rajani style is style style dance is dance
Positive , Enna karumamda ethu cartoon padam mari erukuthu
Positive , Dey idhukku yenda dislike pandrinka . Trailer semma mass ah entertaining ah thanae irukku.. vaitthu yerichallin uccham da neenka
Negative , Inime than sirappana tharamana sambavangala pakka poringa..... Best wishes for thalapathy fans
Positive , செம்ம சியான  மரண Waiting for kadaram kondon movie
Positive , Trailer 1million like varalanu yaarellam feel panringa
Negative , 🤖Thalaiwa is god !! Or ???? Plz rajinikant sir ke fan ho to   . Touch to !!!
unknown_state , Darbar motion poster pathutu vanthavanga yaru
Positive , Super man and Batman movie Mari iruku
Positive , Aapdilam nadakathu !!!! nadaka kudathu  ultimate lines
Positive , Marana mass thala na thala tha
Positive , Ending speech mass thalivaaaaaaakola kandula iruken
Positive , 0.48  0.49 thalaiva unakku vayasu 53 yaaa🤪
Positive , Kaali... Kaala... Kaabali...  thalaivar da... Kaa romba rasi nenaikuravaga like poduga
Positive , Paakathane poringa thalaivaroda maasa petta parak
Positive , 9m view innum neray neray neray  view vennum friends
unknown_state , #2.0 in kannada dubb tamil movies in kannada
Positive , Always Thala  Agalatheey pathutu Trailor pakuravanga like panunga
Mixed_feelings , Hindi movie pink. Remake to tamil. Good movie
Positive , Innum naraya naraya naraya  views....10m pothathu
Positive , Krish next part . Tamil la padam yaduthurukanga super
Positive , Style kingna athu yapovum thalaivar mattumthn
Positive , Graphics sari illa nu solrathukune oru gang suthum parunga
Positive , Nambukkitta kaadu eruntha eduthuppangha kaasu eruntha pudinguppanugha ana paddippa mattum epic dialogue
Positive , 2:02 kandipa naa varama cinema theatreruku unna pakka🤞
not-Tamil , Chutiya Kat gya rajnikant ke fans ka. Views hi nai mile
Mixed_feelings , Yenda KRISH maska copi adichi vachirukkinga....!!🧐  Puthusa ethavathu design pannirukkalam...!
Positive , Thala mass dialogue class vera level
Positive , Rajni Mass. Pakkathana poringa Kali oda aathatha. Sema Dialogue. Old Rajni is back
Negative , 35k Anil kunjus found -disliked 🤣🤣
Positive , Trending list la irundu poi again trending la varadu. First time seeing like this
Positive , kola gagdla irruken....magane kollama vida matten.....Badsha 2.....
Positive , Thala pola varuma  Thala eppavume mass Vera level
Positive , marning eluntha undan nera nkp trailer parka vantha angaali pangaali ellaam oru like podunga
not-Tamil ," Нихрена себе!вот это индусы,вот это удивили, охренеть"
Mixed_feelings , Thala masss yuvan bgm vera level
Positive , Ide en inum trending la varla..? idha vda romba kammi views ruka videos lam trending la ruku
Positive , Sumara 50 times parthachu.one more trailer plzzzz
Negative , Enangada NKP theme music ah potu vachirukinga
Positive , Cast rajini nu pathil vera yarachum pannirukalam
Positive , Bigil vida indha trailer nalla irukae🤔🤔🤔
Positive , Nee engitta vilayaada la yeman kitta
Positive , Enna dhu Tamil cinema la vettu kutthu ilama oru padanum varatho
Positive , Paaandeeee padam paaka vanthuratha theater ku fst day
Mixed_feelings , Malayalam movie chinthamani kolacase njapakathukku varuth
Positive , Really enjoyed ipotha thalaivaroda style nakkal ellathyum romba naaaluku aprm pakarom
Positive ," Ippa inda SKfan ta enna solla poringa , commenters"
unknown_state , Thalapathy 64 ku wait pandravaga like poduga
Positive , Sk வுக்கு theme music வேண்டும் தல Yuvan! Title BGM Semma .
Positive , Nee yaaravenalum iru evanavennaalum iru ** THALA kitta thaiyae iru
Positive , 1:38  to  1:50 vera level
unknown_state , After syraa...seeing u sir ...4m Andra
Negative , Tamil cinema la itha vida pudhu storyline Vera ethuvum kidayathu
Mixed_feelings , Karthi anna katta support from Kerala
Positive , Movie pathutu trailer paakuravangalaan like podunga
Positive , Money money money neraya neraya neraya massss
Positive , #Sl #boys  channel
Positive , Sema da.. Super machi. FDFS confirmed.
Positive , Rangaraj pandey fans hit like 🤣🤣🤣🤣
Mixed_feelings , Aduchu Underwearoda odaa vitruvan.......... to viswasam
Mixed_feelings , ajith sir super act but kadai puthikala
Positive , Vera mathurii irukuuuu thalaivaaa..... Ni vah thalaivaaa vera Level expectations
Positive , Trailer la vara scens lam kanom
Negative , Gotha like kuda vanga mudiyala neeyalam enga annan thalapathy compateator poda aamai kunjugala poi   savunga da
unknown_state , Thairiyama dewali Ku va thalaiva  nanga irukom irupom 🤗
Positive , Super star super star boos is bake
Mixed_feelings ," school boys innum tution pogala pola,dislike button ah pudichu nonditu irukkanuga"
Mixed_feelings , Soori illama iruntha movie supper hit
Positive , Kola gandu la irrikun padam paka.
Positive , Indha teaser Ku dislike pana avaga amma silku da
Positive , Pandaee.... jii neega yepa padau nadika vantheenga.....
Positive , I mena mukamudi padam mathiri iruku
Positive , Trailer eh pathute irukunum pola solravanga like podunga
Negative , Vijay sethupathi ku nalla role illa pola.... Apo padam nallaa irukaathunu thaan ninaiken
Positive , Thungarthuku munnadi 1 time parpom
Positive , Asuran hit aagum nu ninaikuravanga like panunga
Positive , 30 million views varum nu soldravanga like potunga
Positive , Yaaru da andha 9k dislikes uh
Positive , O my god i love you #2.0
Positive , Kids : like Sivakarthikeyan Legends : like Action King ARJUN  ..
Positive , Supar movie ......Thala sema supar.....u1 Bgm nice......
Mixed_feelings , Right now arun vijay in twitter :yaru ellam superhero padam nadakirathunu vivasthai illamal pochu
not-Tamil , Salo Bollywood walo kuch sikho haramkhoro
Positive , All thala fans comments pannunga..100k comments varanum
Positive , Semma. Padippu.  Mattu namma kitta erunthu etukka mudiyathu...
Mixed_feelings , lets make it most liked video of youtube !!!
Positive , Last scene vera level love u thala
Mixed_feelings , Adaei idhu Johnny quest music ila ?!?
Positive , Action king Arjun fans Like Here
Positive , Manushan epudi vanthalum tharama irukaru ya... THALAAA... This time CLASSY After a MASS VISWASAM....
Positive , sivakumar ah villana potruklam just miss
Positive , Viswasam vs Petta pakalam yarru mass nu
Positive , U1 bgm Therikudhu.... Siva ku Nalla movie ya erukum... cameramen George c villiams SEMA
Positive , Intha trailer ah daily pakaravanga .....?
Negative , Enna da ithu trailer ah Serial ah
Positive ," Kerala ajit fans like ittu po, ejjathi item. Be ready makkale🤩🤩"
Negative , Orutharmela neega viswasam MA erukarthuka Enaurutara a asigapadurega
Positive , Oru Vela ellam avan seyal padam maathiri irukkumo?
Mixed_feelings , Manju waarier looks like devashena u feel it guys
Mixed_feelings , Theatre la pakura alavuku worth illa....suntv laye poduvan appa pathukuren
Positive , Waste Moka nu solravanlam Moka pasanga moka movie paakuravanunga
Positive , Avara control panunga pls semmmmmmmmaaaa mass
Positive , Ethana per vanthalum CHIYAAN tha maasss
Positive , Very good film after long time
Positive , Thalapathy fans irukingla ..dislike panra kaaga ve vandhavanga ...
Positive , Amy Jackson pakka vanthaven la like  podunka
Positive , Vera level trailer great job mr.vinoth
Positive , tmrw film release.. inikum trailer pakka vanthavinka yaru
Positive , Trending likes laam mukiyam Ila padamum acting yum dhan mukiyam theater la October 4  apo papinga
Positive , Movie la ajithku theeni irukathu pola
Positive , Idha dhan pala varsham ah sollitu irukanga!!  Ini otrumai ah irukanum ellarum. . . Thala & Thalapathy fans!
Positive , Trailor pakkum munnadi kooda onnu thonala....trailor paatha aprm epoda paapomnu veri mandaikku eruthu............This trailor Advance booking for awards.....
Negative , 1:40 Vjs Jithu Laugh  Makkal Selvan  Forever
Positive , After release # kaithi vera level #diwali winner
Positive , As Neelambari said In Padayappa Vayasu analo un  Stylum azhagum Une Vittu Pogala
Negative , vijay sethupathi nu oru nala actor irundhan ana avanum ipo poramboka maritan
Positive , ENNA DAA ELLAA  RECORDUKKUM SANGU  OODIDUVAANGA POLA    THALAIVAA   SUPER
Negative , Ayayo bigil aprm release panratha idea iruka lokesh gaaru 🤒🤒
Positive , Nee vaa thala namma therikka viduvoom
not-Tamil , U kena tunggu lama lagi utk tau saya
Positive , ada paavi....appadiyae batman copy adichu vachirukingalae da
Positive , Daii ellam likes me comment pannunga da
unknown_state , 0:46 kathii trailer feeeel adichavange like......
Positive , Thalaivar vera level!!! karthik subbaraj yenagaya iruntha ivalo naala.... 02:00 Kola gaandla irukkam mavaney kollama vidda mataen insaneeeee :P
Mixed_feelings , Video pakaraduku munadi like panta..sama trailer
Positive , OK. expect panna levelku illa but ok
Positive , Siva sivan kjr hero trailer pakka Arjun arjunan ps hero mitran super  Saktimaan sakti 90#kids like and comment
Positive , Elaam songs ku dhan addict aavaaanga... Naa enna yaa trailer ku laam addict aaitan.. Can't wait...
Positive , Semma semma semma semma thalaivar super star
Positive , Rajini+sankar+a.kumar+rahuman excellent job..waiting on screen thalivar fan..
Mixed_feelings , Chinna payan konjam ovaru Ana trailer nalla irukku
Positive , Alaguuuuuuuuuuuuuuuuuuu my one and only superstar rajinikanth sirree
Negative , Bgm evanda pottadhu dsp paiyana irupaan pola veenaponavan
Negative , ivlo violence kandippa intha padathukku A certificate kodukkanum...intha padatha yaaru thalaila katta poraano thaanu..vaangura distributors ungalukku sangu thaandaa...soothanmaa irunthukunga..
Positive , Black sheep kutty moonji vivek fans hite like
Positive , Orutharmela irukkura viswasatha kaatta innoruthara yen asingapaduthuringa.... Semma dialogue.... Verithanama waiting panren...
Positive , Bigil Left la poh ! Kaappaan Right la poh !
Positive , Vendum vendum asuran pola padam vendum ... Enpt vendam
Positive , Sema BGM Semaya erukkum padam waitingle veri yeruthe
Positive , Othaaaaa poooluu mari iruku Graphics
Positive , V for vendetta dialogue  An idea can't be destroyed
Positive , #VenkateshDaggubati74 Is Asuran Remake  All The Best Venky Sir
Positive , OMG.... Thalaivar vera level..... Love you thalaiva...
Positive , Gud thaan..but Elam kolapura mathiri iruku..
Positive , Katha than mukkiyam ana trailer semma
not-Tamil , Oru raksha illa Mone kaithiii uff
Negative , Ivaru tha hero mathavanka LA zero va title yosika therila Ivan kuda action king vera pathu ena nadaka pokutho
Mixed_feelings , Omg Yarellam Thala Ya Pakka Wait Panninga
unknown_state , anikunju(vijay) movie oru naal rendu naala theatre la iruthu eduthuruvanuga conform intha movie release aana
Positive , Tik Tok Thala veriyan selvasaisaran
Mixed_feelings , Thalaivaaaaaa. . . . Ne matum than nadigan ne matum than super star..
not-Tamil , Rajnikant sir toh din ba din jaban hote ja rehe he yar.....i love you rajni sir
not-Tamil , Is movi ka music bahut dasu hh jai asuran
unknown_state , Diwali iku Meet panuvom bro bigil fans
Positive , Vera Vera Vera level doi mass  music Pakka
Positive , Movie Tamil memang best ...terbaik Ajith
unknown_state , 1:42 noticed nee yaruda komali channel jainth
Positive , Video start aguradhuku munnadiye like poten  Happy to see Prakash Raj sir back
Positive , Sweet saapda pooram  pongal vera lvl la erukkum
not-Tamil , ಅಕ್ಷಯ್ ಕುಮಾರ್ ಅವರು ಭಾರತದ ರಿಯಲ್ ಸೂಪರ್ಸ್ಟಾರ್... ನಾನು ಅವರ ಯೂಮ್ಬ ದೊಡ್ಡ ಅಭಿಮಾನಿ..!
Mixed_feelings , Views got stuck on 70k
Mixed_feelings , Trailer marana mass FdFs poravanga therikkavidunga Saadha sk padam naale comedy yaathaan irukkum. Anna ithu different script. Next level Sk
Positive , Racha rambola tala luv u from hyd
unknown_state , Bony kapoor🤣🤣 jyda paisa h mc to stok market me lga laudaa  typ ki movie h bc
Mixed_feelings , Nerkonda Paarvai vs pink who is best?
Positive , 58k dislike pottavan tha kadasi vasanthuku vekka padanum
Positive , Ayooo Thala lv u Thala. Sema mass Thala look  Sema. 🥰
Mixed_feelings , I like karthick subburaj......direction...... karthick subburaj gets rocks
Mixed_feelings , Sure blockbuster Congrats from thalapathy fans  Lokesh kanagaraj
Negative , Enga thalaivar eppavumme masss  nu sollravanga mattum hit like pannitu ponga.......
Positive , Trialer super maran padam vettiri pera valthukal
Positive , Thala indha look la semaya irukkaru 🤩🤩🤩
Positive ," Rasanai illadha pullingow, apdi enna korai ah kandu pudichitanga indha video lae dislike panra alavukku"
unknown_state , Bigil  lavathu mairavathu Karthi in kaithi ya paaru da
Positive , U1 tharamana sambavam aug 10 apa papinga
Positive , Enna da trending laye kaanom ....
Negative , Rowdy ingala hero va katti vanmuraiya thundarady vetrimarnukku velaya pochi.Yevlo Enda nattukku thevayana Nalla karuthukala vachi flim edukalamla.
Positive , Thalaaa maranaaa masssss love u thalaaaa
Mixed_feelings ," Sad to say, but seems like rekka 2....hope I'm wrong!"
Positive , U1 bgm vera level ..thala vera level acting
Positive , Scene like remake....from hindi movie PINK ....
Negative , A MAGNUM OPUS SHORT FILM   FI SHORT FILM MAKING IN ZERO BUDGET
Mixed_feelings , Intha trailer la neega like rajini kaga pada venna oru tamilan padaippu kaga podunga ...
Negative , Unlike panradhukkune wait pannittu irundhurukkanunga 13k padunga
Positive , Thalaivar style la sollanum na trailer WOW
Positive , Oruthan mela visvasatha katrathu kaga innorthara asinga paduthuringa
Mixed_feelings , Enagada YouTube inum trending la add panama irukinga
Negative , Sema masss Rajini & Vjs combo marana waiting
Positive , Objection enna voice paa marubadium pananum pola iruku
Positive , Yarellam note paninga teejey movie la vandharunu 🤔🤔🤔🤔
Positive , THALA always masss.. Ippo sollava venum U1 music vera level ah irukkum...
Mixed_feelings , En innum trending la varala? Ennada panringa YouTube fellows?
Positive , Super video and super star mass
Positive , Thala look Vera level LA eruku
unknown_state , kaithi Diwali Super Hit Bigil Diwali Blockbuster
Positive , Trending la namba Thala trailer thaa..num1...
Positive , Ranga Raj panday sir action super
Positive , Dhanush Anna vera level u look awesome
Mixed_feelings , Bollywood movie Pink remeke   lol
Positive , Ajith Thalathala nu irukaru nalla gummunu
Positive , thalaivaaa...enna ethu epdi chinna payyan mathiri...petta paraak
Positive , Entha padathile vikramkku robba dialogue s ellai
Mixed_feelings , Akshay Kumar new trailer Kadak look
Positive , Amy Jackson ka naam mention nahi kya
Positive , Kola kaandla irukken mavana kollama vida maatten.....sama mass dialogue...
unknown_state , Engada nama superstar fans trailer aa 100Million aa akugada please
Positive , Koor konda parvai  Ajith eppavum first ethilium best
Positive ," Thalaivar matum tha , petta paraaaaaak"
Mixed_feelings , Dislike potavaagaa unaga vijay 63 varapa paarugadaa 300k dislikess
Positive , Trailer last dialogue to dir ranjith  Oruthar mela vishwasam kaatrathuku inoruthara yen asiga paduthuringa
Positive , Release kulla 15 million views varanum bro
Positive , Masss trailer.... Antha 26k dislikes pannavangalam yaaru Samy nengalam.. epdithan ungaluku Padam edukanum ithuku mela...
Negative , mgr kitta rajini yala umba kuda mudiyathu ha ha
Positive , 10 Milion views ku waiting
Positive , Dei 10 million views dhan pa vandhurukku Vera yaarumae illaya pa
Positive , I am weiting thala mass speechnig thala veriyan
Mixed_feelings , Shivakumar be like  thambi Shankar ethu en kadha..... Akshay had done my role
Mixed_feelings , Enga Thala epovum mass thaan
Positive ," The lion, thani kaatu raja yanga  thala"
Positive ," Thala fans idhu pathadhu, innum neraya neraya neraya venum!!!"
Positive , Adiye Meera ni vikram vedhala Madhavan kuda nadichavathana athan un nilama ipdi..
Mixed_feelings , Vetrimaran sir matum tha unaku hit kodupaaruu.. Sariya avara vituraatha
Positive , Ithula vara ovvoru dialogue un enga dala ya pathu solra mathiri iruku
Positive , Evlo girls intha trilar pathutu like potinga.... link share paninga.... like panunga
Mixed_feelings , Karthi (kailii vettii) kattitu naducha Padam hit and blockbuster thann Antha varusaiyil ithuvum ondruuu
unknown_state , 2020 Thalapthy Vijay   Makkal selvan Vijay sethupathy
Positive , Thala pole varumaaa  Ore oru thala dhaaaaa  Aaattam inime aarambika pokith machiii  Picture abhi baakki hai bhaayi
Positive , voice powerful neraya neraya neraya neraya neraya.
Positive , Bigil trailer ah  pathutu vanthavanga evloo per ....?
Positive , viswasam enga poga poguthunu theriyalaya. PETTA PARAAK
Positive , 692 k likes reached aairuku
Negative , Nalla irrundha manusana ippadi pannitenga Leh da.... U1 sathiyama wasted this movie..
Positive , Padipu avasiyam tha but system serila pa
Negative , Unga kooda poi sasikumar ah chee
Positive , Eduthu vainga Da ellam award aiyum
unknown_state , Paaaa first' scene look....**  Ithu mathiri Actor nan pakala samy daa ..
Positive , Ithu ega ariyavila eduthathi epadii.... 🤙🤙🤙
Positive , Anna vida thambi nalla kathaila nadikraru
Positive , i think ajith just makes a guest role
Mixed_feelings , Music semma Tq u SAM C S.......
Positive , Viswasam trailer needs 20k likes to reach 1.4m likes
Negative , FIRST DAY FIRST SHOW FOR KAITHI MOVIE
Positive , Control panna mudiyala..... Waiting la veri yerudhu
Positive , love  u  rajni  sir
Mixed_feelings , Trailer ela semmaya dha iruku...aana SK va patha dha super hero feel vara matikudhu
Positive , i love ajith from andhra pradesh
Mixed_feelings , It's not looks like a Ajit range of movie.
Positive , 663 my view I am Telugu die hard fan of Rajini sir 🤘🤘🤘
Positive , iyoo... therikuthu....enna style ah irukaru ya.. thalaivar uhu..
Positive , Ye to Pink movie ki tarah lag rahi h
not-Tamil , Akshay jiiiiiii really u r khilladiii
Positive , Thalapathy 64 Director Lokesh Kanagaraj Like Pannunga Actor Karthi Like Fans
Negative , Sri mahalakxmi   tealugu movie  full movie  dibieng
Negative , Kola gaandule iruken mavane kollame vidamaten thalaivar vere level
Positive , INDvsPak aavathu mudiyavathu.... Waiting 4 10M views
Positive , Remake of Ellam avan seyal movie?
Positive , Vikram nadichale adu vera level movie tan
Positive , Mass Vjs... Veere veere level
Positive ," Thaliva semma ,,,dialogue vera leavel"
Negative , I will set ur screens on
Positive , Vetri maran dhaush legendry combo.. padipa matum namba Kita irnthu edthukave mudiyathu .. true
Positive , vijay sethupathi ah sariya kataleya iam mode out hw many r nt satisfied hit a like.......
Positive , THALA always masss.. Ippo sollava venum Y1 music vera level ah irukkum...
Positive , Intha 10 star kamicha than trailer Ana orae ala kamichi trailer oduthu trending la yarnu ellarukum theriyum...
Mixed_feelings , Trailer vara levela erku apo thalaphty 64 epdierkum...  bigil and Kaithi marana mass movieya erkapoguthu.....
Positive , 0:48 to 1:00 yuvan  rocks
Positive , Yenakkennamoo Dark Knight patha mariyee irukku
Positive , orutharmela  neenga visuwasam kaatrathukaka inorthara edhuku asinga paduthuringa
Positive , Namaku thavayanatha namba than adichu vankunum
Negative , Nangalum un mela kola kandulathan erukom. Odi poidu.
Positive ," Petta trailer mass, VISWASAM TRAILER MARANA MASS"
Mixed_feelings , Nerkonda paarvai mix with Kolaikaaran BGM
Negative , Sir... Thalaivar name  kooda  ilaya Super Star pattam Irunthuruntha innum Vera Level la Irunthurukkum ...
unknown_state , yarellam marana mass video song ku wait panrenga
Positive , Thala tucker  Kola Mass
Positive , Thala mass chance illa vera level thala veriyan
unknown_state , vijay sethu ...kerala fans like here
Positive , Vera level...trailer waiting 4r movie....finshing super... kolaaa ganngula irruken sema ...
Positive , Vetri kootani nu marupadiyum nirupichirukku....padam asurathanam
Positive , Va Nadippin Naygan chiyaan vikram MASS🤗
Positive , Ethuvarai ulagil vera entha trailarum en thalaivar movie 2.o trailer pola illa
Mixed_feelings , Ayyoo yennala oru like ku mela poda mudiyalaye..
