Dialogue_Act,Utterance
OFFER,die kann ich Ihnen aber auch gerne mitgeben
INFORM,es gibt dort sicher ja auch Veranstaltungen die sind dann aber jahreszeitenabhängig
OFFER,das könnte ich für Sie nachsehen und Ihnen entsprechende Prospekte zuschicken
INFORM,<äh> Restaurants haben wir eine größere Liste aus der Sie wählen können
OFFER,die kann ich Ihnen aber auch gerne mitgeben
ACCEPT,oh ja <äh> dann nehme ich die mit
OFFER,das könnte ich für Sie nachsehen und Ihnen entsprechende Prospekte zuschicken
INFORM,<äh> Restaurants haben wir eine größere Liste aus der Sie wählen können
OFFER,die kann ich Ihnen aber auch gerne mitgeben
ACCEPT,oh ja <äh> dann nehme ich die mit
INFORM,und <ähm> hier ist meine Karte
INFORM,<äh> Restaurants haben wir eine größere Liste aus der Sie wählen können
OFFER,die kann ich Ihnen aber auch gerne mitgeben
ACCEPT,oh ja <äh> dann nehme ich die mit
INFORM,und <ähm> hier ist meine Karte
BACKCHANNEL,mhm
OFFER,die kann ich Ihnen aber auch gerne mitgeben
ACCEPT,oh ja <äh> dann nehme ich die mit
INFORM,und <ähm> hier ist meine Karte
BACKCHANNEL,mhm
COMMIT,<ähm> ich mache dann eine Reservierung für Sie
REQUEST_SUGGEST,würden Sie lieber mit $I-$C oder $I-$C-$E und einmal Umsteigen fahren
EXCLUDE,<häs> Umsteigen ist doof
INFORM,wenn ich schon im Zug sitze dann möchte ich auch meine Ruhe haben
COMMIT,mhm gut dann <häs> reserviere ich buche ich einen $I $C $C für Sie
ACCEPT,wunderbar
EXCLUDE,<häs> Umsteigen ist doof
INFORM,wenn ich schon im Zug sitze dann möchte ich auch meine Ruhe haben
COMMIT,mhm gut dann <häs> reserviere ich buche ich einen $I $C $C für Sie
ACCEPT,wunderbar
CLOSE,<ähm> das wäre dann alles
INFORM,wenn ich schon im Zug sitze dann möchte ich auch meine Ruhe haben
COMMIT,mhm gut dann <häs> reserviere ich buche ich einen $I $C $C für Sie
ACCEPT,wunderbar
CLOSE,<ähm> das wäre dann alles
THANK,danke sehr
COMMIT,mhm gut dann <häs> reserviere ich buche ich einen $I $C $C für Sie
ACCEPT,wunderbar
CLOSE,<ähm> das wäre dann alles
THANK,danke sehr
FEEDBACK_POSITIVE,mhm gut
ACCEPT,wunderbar
CLOSE,<ähm> das wäre dann alles
THANK,danke sehr
FEEDBACK_POSITIVE,mhm gut
BYE,auf Wiedersehen
CLOSE,<ähm> das wäre dann alles
THANK,danke sehr
FEEDBACK_POSITIVE,mhm gut
BYE,auf Wiedersehen
BYE,auf Wiedersehen Herr Figura
INTRODUCE,mein Name ist Felix Schaeffler
POLITENESS_FORMULA,ich begrüße Sie sehr herzlich
POLITENESS_FORMULA,wie geht es Ihnen denn
GREET,ja grüß Gott Herr Schaeffler
INTRODUCE,mein Name ist Stefanie Krekow
POLITENESS_FORMULA,ich begrüße Sie sehr herzlich
POLITENESS_FORMULA,wie geht es Ihnen denn
GREET,ja grüß Gott Herr Schaeffler
INTRODUCE,mein Name ist Stefanie Krekow
FEEDBACK_POSITIVE,ach mir geht es sehr gut
POLITENESS_FORMULA,wie geht es Ihnen denn
GREET,ja grüß Gott Herr Schaeffler
INTRODUCE,mein Name ist Stefanie Krekow
FEEDBACK_POSITIVE,ach mir geht es sehr gut
DELIBERATE,ich muß sagen das freut mich daß es jetzt wieder im Geschäft so vorangeht
REQUEST_COMMENT,wie sieht es denn da bei Ihnen aus
REQUEST_CLARIFY,Herr Schaeffler am achten neunten
REJECT,in der Kombination paßt es mir leider nicht so gut
GIVE_REASON,da habe ich noch Besuch vom Geschäftspartner das ist ein sehr wichtiger Kunde
SUGGEST,aber am neunten zehnten da könnte ich zum Beispiel mit Ihnen nach Hannover fahren
REQUEST_CLARIFY,Herr Schaeffler am achten neunten
REJECT,in der Kombination paßt es mir leider nicht so gut
GIVE_REASON,da habe ich noch Besuch vom Geschäftspartner das ist ein sehr wichtiger Kunde
SUGGEST,aber am neunten zehnten da könnte ich zum Beispiel mit Ihnen nach Hannover fahren
INFORM,denn <äh> dann ist der Herr schon wieder abgereist
REJECT,in der Kombination paßt es mir leider nicht so gut
GIVE_REASON,da habe ich noch Besuch vom Geschäftspartner das ist ein sehr wichtiger Kunde
SUGGEST,aber am neunten zehnten da könnte ich zum Beispiel mit Ihnen nach Hannover fahren
INFORM,denn <äh> dann ist der Herr schon wieder abgereist
SUGGEST,neunter zehnter Januar
GIVE_REASON,da habe ich noch Besuch vom Geschäftspartner das ist ein sehr wichtiger Kunde
SUGGEST,aber am neunten zehnten da könnte ich zum Beispiel mit Ihnen nach Hannover fahren
INFORM,denn <äh> dann ist der Herr schon wieder abgereist
SUGGEST,neunter zehnter Januar
CLARIFY,Juli
SUGGEST,aber am neunten zehnten da könnte ich zum Beispiel mit Ihnen nach Hannover fahren
INFORM,denn <äh> dann ist der Herr schon wieder abgereist
SUGGEST,neunter zehnter Januar
CLARIFY,Juli
FEEDBACK_POSITIVE,Juli ja
INFORM,denn <äh> dann ist der Herr schon wieder abgereist
SUGGEST,neunter zehnter Januar
CLARIFY,Juli
FEEDBACK_POSITIVE,Juli ja
DELIBERATE,neunter zehnter Juli
SUGGEST,neunter zehnter Januar
CLARIFY,Juli
FEEDBACK_POSITIVE,Juli ja
DELIBERATE,neunter zehnter Juli
REQUEST_COMMENT,<ähm> ja wieso nicht
CLARIFY,Juli
FEEDBACK_POSITIVE,Juli ja
DELIBERATE,neunter zehnter Juli
REQUEST_COMMENT,<ähm> ja wieso nicht
ACCEPT,ich sehe da bei mir eigentlich auch keine <äh> Dinge die dagegen sprechen
FEEDBACK_POSITIVE,Juli ja
DELIBERATE,neunter zehnter Juli
REQUEST_COMMENT,<ähm> ja wieso nicht
ACCEPT,ich sehe da bei mir eigentlich auch keine <äh> Dinge die dagegen sprechen
ACCEPT,das würde mir passen wunderbar
DELIBERATE,neunter zehnter Juli
REQUEST_COMMENT,<ähm> ja wieso nicht
ACCEPT,ich sehe da bei mir eigentlich auch keine <äh> Dinge die dagegen sprechen
ACCEPT,das würde mir passen wunderbar
INIT,<ähm> jetzt wie sieht es denn aus wir müssen da hin
REQUEST_COMMENT,was halten Sie denn davon
REQUEST_COMMENT,schaffen wir das
ACCEPT,das wäre eigentlich auch ganz in meinem Sinne
SUGGEST,ich würde Ihnen vorschlagen daß wir dann fliegen
INFORM,der Geschäftspartner in Hannover sitzt in Langenhagen da ist der Flughafen gleich nebenan
ACCEPT,ja das ist doch gar nicht so schlecht
INFORM,also das neun Uhr und dann den ganzen Tag und Freitag noch den halben
FEEDBACK_POSITIVE,genau
INFORM,ich denke auch daß die Filiale die werden ja n am Freitag nicht ewig offen haben
INFORM,ich kann mir vorstellen daß da viele Mitarbeiter auch schon mittags zum Teil gehen
FEEDBACK_POSITIVE,ah wunderbar
CLOSE,dann halte ich das noch mal kurz fest
REQUEST_CLARIFY,wir haben gesagt neunter Juli ne
CLARIFY,Donnerstag
CLARIFY,Donnerstag neunter Juli
FEEDBACK_POSITIVE,ja
REQUEST,<ähm> ich würde Sie jetzt bitten Ihren <äh> Terminkalender <äh> vor sich zu legen oder <ähm>
FEEDBACK_POSITIVE,ja das habe ich bereits getan
FEEDBACK_POSITIVE,ja
REQUEST_SUGGEST,<äh> wann hätten Sie jetzt zum Beispiel Zeit
REQUEST,<ähm> ich würde Sie jetzt bitten Ihren <äh> Terminkalender <äh> vor sich zu legen oder <ähm>
FEEDBACK_POSITIVE,ja das habe ich bereits getan
FEEDBACK_POSITIVE,ja
REQUEST_SUGGEST,<äh> wann hätten Sie jetzt zum Beispiel Zeit
FEEDBACK_NEGATIVE,also im April bin ich ziemlich ausgebucht
FEEDBACK_POSITIVE,ja das habe ich bereits getan
FEEDBACK_POSITIVE,ja
REQUEST_SUGGEST,<äh> wann hätten Sie jetzt zum Beispiel Zeit
FEEDBACK_NEGATIVE,also im April bin ich ziemlich ausgebucht
SUGGEST,da hätte ich nur entweder in der ersten Woche Zeit
FEEDBACK_POSITIVE,ja
REQUEST_SUGGEST,<äh> wann hätten Sie jetzt zum Beispiel Zeit
FEEDBACK_NEGATIVE,also im April bin ich ziemlich ausgebucht
SUGGEST,da hätte ich nur entweder in der ersten Woche Zeit
REJECT,ja da ist es schlecht
REQUEST_SUGGEST,<äh> wann hätten Sie jetzt zum Beispiel Zeit
FEEDBACK_NEGATIVE,also im April bin ich ziemlich ausgebucht
SUGGEST,da hätte ich nur entweder in der ersten Woche Zeit
REJECT,ja da ist es schlecht
SUGGEST,oder in der letzten Woche
FEEDBACK_POSITIVE,<ähm> ja
EXCLUDE,ich kann am Montag nicht den siebenundzwanzigsten
EXCLUDE,dann fällt glaube ich der April flach
SUGGEST,<äh> im Mai hätte ich zum Beispiel in der e ersten Woche Zeit ab fünften
BACKCHANNEL,mhm
EXCLUDE,ich kann am Montag nicht den siebenundzwanzigsten
EXCLUDE,dann fällt glaube ich der April flach
SUGGEST,<äh> im Mai hätte ich zum Beispiel in der e ersten Woche Zeit ab fünften
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,ja
EXCLUDE,dann fällt glaube ich der April flach
SUGGEST,<äh> im Mai hätte ich zum Beispiel in der e ersten Woche Zeit ab fünften
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,ja
EXCLUDE,ja im Mai habe ich eine Dienstreise vom fünften bis zum siebten
SUGGEST,<äh> im Mai hätte ich zum Beispiel in der e ersten Woche Zeit ab fünften
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,ja
EXCLUDE,ja im Mai habe ich eine Dienstreise vom fünften bis zum siebten
DELIBERATE,mhm
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,ja
EXCLUDE,ja im Mai habe ich eine Dienstreise vom fünften bis zum siebten
DELIBERATE,mhm
DELIBERATE,vom fünften bis siebten
FEEDBACK_POSITIVE,ja
EXCLUDE,ja im Mai habe ich eine Dienstreise vom fünften bis zum siebten
DELIBERATE,mhm
DELIBERATE,vom fünften bis siebten
SUGGEST,ich hätte dann <äh> zum Beispiel vom achten bis zum zwölften Mai Zeit
EXCLUDE,ja im Mai habe ich eine Dienstreise vom fünften bis zum siebten
DELIBERATE,mhm
DELIBERATE,vom fünften bis siebten
SUGGEST,ich hätte dann <äh> zum Beispiel vom achten bis zum zwölften Mai Zeit
ACCEPT,ja das würde auch bei mir gehen
DELIBERATE,mhm
DELIBERATE,vom fünften bis siebten
SUGGEST,ich hätte dann <äh> zum Beispiel vom achten bis zum zwölften Mai Zeit
ACCEPT,ja das würde auch bei mir gehen
BACKCHANNEL,mhm
DELIBERATE,vom fünften bis siebten
SUGGEST,ich hätte dann <äh> zum Beispiel vom achten bis zum zwölften Mai Zeit
ACCEPT,ja das würde auch bei mir gehen
BACKCHANNEL,mhm
ACCEPT,gut
SUGGEST,ich hätte dann <äh> zum Beispiel vom achten bis zum zwölften Mai Zeit
ACCEPT,ja das würde auch bei mir gehen
BACKCHANNEL,mhm
ACCEPT,gut
CONFIRM,dann wollen wir das mal ins Auge fassen achter bis zwölfter
ACCEPT,ja das würde auch bei mir gehen
BACKCHANNEL,mhm
ACCEPT,gut
CONFIRM,dann wollen wir das mal ins Auge fassen achter bis zwölfter
REQUEST_CLARIFY,<ähm> <häs> wollten Sie dann gerne den achten neunten
BACKCHANNEL,mhm
ACCEPT,gut
CONFIRM,dann wollen wir das mal ins Auge fassen achter bis zwölfter
REQUEST_CLARIFY,<ähm> <häs> wollten Sie dann gerne den achten neunten
NOT_CLASSIFIABLE,oder
ACCEPT,gut
CONFIRM,dann wollen wir das mal ins Auge fassen achter bis zwölfter
REQUEST_CLARIFY,<ähm> <häs> wollten Sie dann gerne den achten neunten
NOT_CLASSIFIABLE,oder
SUGGEST,also mir persönlich wäre der elfte und zwölfte lieber
CONFIRM,dann wollen wir das mal ins Auge fassen achter bis zwölfter
REQUEST_CLARIFY,<ähm> <häs> wollten Sie dann gerne den achten neunten
NOT_CLASSIFIABLE,oder
SUGGEST,also mir persönlich wäre der elfte und zwölfte lieber
ACCEPT,gut das geht
REQUEST_CLARIFY,<ähm> <häs> wollten Sie dann gerne den achten neunten
NOT_CLASSIFIABLE,oder
SUGGEST,also mir persönlich wäre der elfte und zwölfte lieber
ACCEPT,gut das geht
CONFIRM,legen wir uns auf den elften und zwölften Mai fest
NOT_CLASSIFIABLE,oder
SUGGEST,also mir persönlich wäre der elfte und zwölfte lieber
ACCEPT,gut das geht
CONFIRM,legen wir uns auf den elften und zwölften Mai fest
INIT,ansonsten <äh> die <äh> gäbe es noch Zugverbindungen oder Flüge <ähm> München Hannover
SUGGEST,also mir persönlich wäre der elfte und zwölfte lieber
ACCEPT,gut das geht
CONFIRM,legen wir uns auf den elften und zwölften Mai fest
INIT,ansonsten <äh> die <äh> gäbe es noch Zugverbindungen oder Flüge <ähm> München Hannover
INFORM,<äh> es bestehen stündliche Verbindungen ab fünf Uhr drei Fahrtdauer viereinhalb Stunden
INFORM,und die reine Flugzeit <äh> beträgt siebzig Minuten
FEEDBACK_POSITIVE,<ähm> ja
FEEDBACK_POSITIVE,schön
FEEDBACK_POSITIVE,ja
SUGGEST,also mir persönlich wäre das Flugzeug natürlich lieber
FEEDBACK_POSITIVE,<ähm> ja
FEEDBACK_POSITIVE,schön
FEEDBACK_POSITIVE,ja
SUGGEST,also mir persönlich wäre das Flugzeug natürlich lieber
GIVE_REASON,weil wir da aus Zeitgründen mehr Zeit in Hannover dann verbringen könnten
FEEDBACK_POSITIVE,schön
FEEDBACK_POSITIVE,ja
SUGGEST,also mir persönlich wäre das Flugzeug natürlich lieber
GIVE_REASON,weil wir da aus Zeitgründen mehr Zeit in Hannover dann verbringen könnten
FEEDBACK_POSITIVE,<häs> ja
FEEDBACK_POSITIVE,ja
SUGGEST,also mir persönlich wäre das Flugzeug natürlich lieber
GIVE_REASON,weil wir da aus Zeitgründen mehr Zeit in Hannover dann verbringen könnten
FEEDBACK_POSITIVE,<häs> ja
ACCEPT,gut mit dem Flugzeug bin ich dann einverstanden
SUGGEST,also mir persönlich wäre das Flugzeug natürlich lieber
GIVE_REASON,weil wir da aus Zeitgründen mehr Zeit in Hannover dann verbringen könnten
FEEDBACK_POSITIVE,<häs> ja
ACCEPT,gut mit dem Flugzeug bin ich dann einverstanden
FEEDBACK_POSITIVE,gut
GIVE_REASON,weil wir da aus Zeitgründen mehr Zeit in Hannover dann verbringen könnten
FEEDBACK_POSITIVE,<häs> ja
ACCEPT,gut mit dem Flugzeug bin ich dann einverstanden
FEEDBACK_POSITIVE,gut
SUGGEST,sind Sie dann auch damit einverstanden daß wir dann so um neun Uhr ungefähr losfliegen
FEEDBACK_POSITIVE,<häs> ja
ACCEPT,gut mit dem Flugzeug bin ich dann einverstanden
FEEDBACK_POSITIVE,gut
SUGGEST,sind Sie dann auch damit einverstanden daß wir dann so um neun Uhr ungefähr losfliegen
ACCEPT,ja das paßt in unsern Ze <ähm> in unsern Zeitplan
ACCEPT,gut mit dem Flugzeug bin ich dann einverstanden
FEEDBACK_POSITIVE,gut
SUGGEST,sind Sie dann auch damit einverstanden daß wir dann so um neun Uhr ungefähr losfliegen
ACCEPT,ja das paßt in unsern Ze <ähm> in unsern Zeitplan
DELIBERATE,so wie ich das sehe
FEEDBACK_POSITIVE,gut
SUGGEST,sind Sie dann auch damit einverstanden daß wir dann so um neun Uhr ungefähr losfliegen
ACCEPT,ja das paßt in unsern Ze <ähm> in unsern Zeitplan
DELIBERATE,so wie ich das sehe
BACKCHANNEL,mhm
SUGGEST,sind Sie dann auch damit einverstanden daß wir dann so um neun Uhr ungefähr losfliegen
ACCEPT,ja das paßt in unsern Ze <ähm> in unsern Zeitplan
DELIBERATE,so wie ich das sehe
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,gut
ACCEPT,ja das paßt in unsern Ze <ähm> in unsern Zeitplan
DELIBERATE,so wie ich das sehe
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,gut
GIVE_REASON,daß wir dann kurz vor zehn in Hannover sind
DELIBERATE,so wie ich das sehe
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,gut
GIVE_REASON,daß wir dann kurz vor zehn in Hannover sind
INIT,mit der Unterkunft habe ich mich auch informiert
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,gut
GIVE_REASON,daß wir dann kurz vor zehn in Hannover sind
INIT,mit der Unterkunft habe ich mich auch informiert
SUGGEST,da wäre zum einen das Marriott-Hotel in Hannover
FEEDBACK_POSITIVE,gut
GIVE_REASON,daß wir dann kurz vor zehn in Hannover sind
INIT,mit der Unterkunft habe ich mich auch informiert
SUGGEST,da wäre zum einen das Marriott-Hotel in Hannover
INFORM,das liegt z zentral in der Nähe von <%> Kröpcke
GIVE_REASON,daß wir dann kurz vor zehn in Hannover sind
INIT,mit der Unterkunft habe ich mich auch informiert
SUGGEST,da wäre zum einen das Marriott-Hotel in Hannover
INFORM,das liegt z zentral in der Nähe von <%> Kröpcke
INFORM,hat ein Hallenbad und einen Fitneßraum
FEEDBACK_POSITIVE,ja
INFORM,ja die die haben auch ein Bar und ein Bistro
BACKCHANNEL,mhm
INFORM,weil mit Theaterkarten ist das nicht immer so sichergestellt
BACKCHANNEL,mhm
INFORM,ja die die haben auch ein Bar und ein Bistro
BACKCHANNEL,mhm
INFORM,weil mit Theaterkarten ist das nicht immer so sichergestellt
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,ja das ist <%> klar
BACKCHANNEL,mhm
INFORM,weil mit Theaterkarten ist das nicht immer so sichergestellt
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,ja das ist <%> klar
SUGGEST,dann ni nimmt jeder ein Einzelzimmer
INFORM,weil mit Theaterkarten ist das nicht immer so sichergestellt
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,ja das ist <%> klar
SUGGEST,dann ni nimmt jeder ein Einzelzimmer
DELIBERATE,mhm
BACKCHANNEL,mhm
FEEDBACK_POSITIVE,ja das ist <%> klar
SUGGEST,dann ni nimmt jeder ein Einzelzimmer
DELIBERATE,mhm
ACCEPT,ja
FEEDBACK_POSITIVE,ja das ist <%> klar
SUGGEST,dann ni nimmt jeder ein Einzelzimmer
DELIBERATE,mhm
ACCEPT,ja
COMMIT,gut dann werde ich mich da mal bemühen daß wir da ein Zimmer kriegen beziehungsweise zwei
SUGGEST,dann ni nimmt jeder ein Einzelzimmer
DELIBERATE,mhm
ACCEPT,ja
COMMIT,gut dann werde ich mich da mal bemühen daß wir da ein Zimmer kriegen beziehungsweise zwei
ACCEPT,in Ordnung
DELIBERATE,mhm
ACCEPT,ja
COMMIT,gut dann werde ich mich da mal bemühen daß wir da ein Zimmer kriegen beziehungsweise zwei
ACCEPT,in Ordnung
CLOSE,ja Herr Nishimoto dann verbleiben wir bei den Terminen
ACCEPT,ja
COMMIT,gut dann werde ich mich da mal bemühen daß wir da ein Zimmer kriegen beziehungsweise zwei
ACCEPT,in Ordnung
CLOSE,ja Herr Nishimoto dann verbleiben wir bei den Terminen
FEEDBACK_POSITIVE,gut
COMMIT,gut dann werde ich mich da mal bemühen daß wir da ein Zimmer kriegen beziehungsweise zwei
ACCEPT,in Ordnung
CLOSE,ja Herr Nishimoto dann verbleiben wir bei den Terminen
FEEDBACK_POSITIVE,gut
FEEDBACK_POSITIVE,jawohl
ACCEPT,in Ordnung
CLOSE,ja Herr Nishimoto dann verbleiben wir bei den Terminen
FEEDBACK_POSITIVE,gut
FEEDBACK_POSITIVE,jawohl
BYE,schön Frau Heinicke auf Wiedersehen
CLOSE,ja Herr Nishimoto dann verbleiben wir bei den Terminen
FEEDBACK_POSITIVE,gut
FEEDBACK_POSITIVE,jawohl
BYE,schön Frau Heinicke auf Wiedersehen
FEEDBACK_POSITIVE,gut
FEEDBACK_POSITIVE,gut
FEEDBACK_POSITIVE,jawohl
BYE,schön Frau Heinicke auf Wiedersehen
FEEDBACK_POSITIVE,gut
BYE,auf Wiedersehen Herr Nishimoto
INIT,<ähm> wir müssen ja diese eineinhalbtägige Dienstreise nach Hannover noch planen
DELIBERATE,<ähm> ich hole mal meinen Kalender raus und schauen wir mal wann wir da fahren können
FEEDBACK_POSITIVE,ja ist mir recht Herr Weilhammer
INFORM,<ähm> mhm ich muß zugeben ich habe jetzt auch keinen größeren Freiraum mehr
SUGGEST,<ähm> der größte wäre bei mir noch zwischen elfter und zwölften und zwölften November
DELIBERATE,<ähm> ich hole mal meinen Kalender raus und schauen wir mal wann wir da fahren können
FEEDBACK_POSITIVE,ja ist mir recht Herr Weilhammer
INFORM,<ähm> mhm ich muß zugeben ich habe jetzt auch keinen größeren Freiraum mehr
SUGGEST,<ähm> der größte wäre bei mir noch zwischen elfter und zwölften und zwölften November
ACCEPT,ja Treffer
FEEDBACK_POSITIVE,ja ist mir recht Herr Weilhammer
INFORM,<ähm> mhm ich muß zugeben ich habe jetzt auch keinen größeren Freiraum mehr
SUGGEST,<ähm> der größte wäre bei mir noch zwischen elfter und zwölften und zwölften November
ACCEPT,ja Treffer
NOT_CLASSIFIABLE,<ähm> <häs> das ist bei mir auch
INFORM,<ähm> mhm ich muß zugeben ich habe jetzt auch keinen größeren Freiraum mehr
SUGGEST,<ähm> der größte wäre bei mir noch zwischen elfter und zwölften und zwölften November
ACCEPT,ja Treffer
NOT_CLASSIFIABLE,<ähm> <häs> das ist bei mir auch
SUGGEST,also ich würde sagen dann nehmen wir gleich den Montag den zehnten
SUGGEST,<ähm> der größte wäre bei mir noch zwischen elfter und zwölften und zwölften November
ACCEPT,ja Treffer
NOT_CLASSIFIABLE,<ähm> <häs> das ist bei mir auch
SUGGEST,also ich würde sagen dann nehmen wir gleich den Montag den zehnten
NOT_CLASSIFIABLE,und
ACCEPT,ja Treffer
NOT_CLASSIFIABLE,<ähm> <häs> das ist bei mir auch
SUGGEST,also ich würde sagen dann nehmen wir gleich den Montag den zehnten
NOT_CLASSIFIABLE,und
REJECT,am zehnten kann ich nicht
NOT_CLASSIFIABLE,<ähm> <häs> das ist bei mir auch
SUGGEST,also ich würde sagen dann nehmen wir gleich den Montag den zehnten
NOT_CLASSIFIABLE,und
REJECT,am zehnten kann ich nicht
NOT_CLASSIFIABLE,oh elften und
SUGGEST,also ich würde sagen dann nehmen wir gleich den Montag den zehnten
NOT_CLASSIFIABLE,und
REJECT,am zehnten kann ich nicht
NOT_CLASSIFIABLE,oh elften und
SUGGEST,elften und bis dreizehnten habe ich
NOT_CLASSIFIABLE,und
REJECT,am zehnten kann ich nicht
NOT_CLASSIFIABLE,oh elften und
SUGGEST,elften und bis dreizehnten habe ich
INFORM,gut das habe ich mißverstanden
REJECT,am zehnten kann ich nicht
NOT_CLASSIFIABLE,oh elften und
SUGGEST,elften und bis dreizehnten habe ich
INFORM,gut das habe ich mißverstanden
ACCEPT,ja elfter ist elfter und zwölfter ist auch okay also Dienstag ja
NOT_CLASSIFIABLE,oh elften und
SUGGEST,elften und bis dreizehnten habe ich
INFORM,gut das habe ich mißverstanden
ACCEPT,ja elfter ist elfter und zwölfter ist auch okay also Dienstag ja
DELIBERATE,elfter und zwölfter
SUGGEST,elften und bis dreizehnten habe ich
INFORM,gut das habe ich mißverstanden
ACCEPT,ja elfter ist elfter und zwölfter ist auch okay also Dienstag ja
DELIBERATE,elfter und zwölfter
FEEDBACK_POSITIVE,okay ja genau
INFORM,gut das habe ich mißverstanden
ACCEPT,ja elfter ist elfter und zwölfter ist auch okay also Dienstag ja
DELIBERATE,elfter und zwölfter
FEEDBACK_POSITIVE,okay ja genau
INIT,dann <ähm> fahren wir mit dem Zug oder wollen Sie fliegen
ACCEPT,ja elfter ist elfter und zwölfter ist auch okay also Dienstag ja
DELIBERATE,elfter und zwölfter
FEEDBACK_POSITIVE,okay ja genau
INIT,dann <ähm> fahren wir mit dem Zug oder wollen Sie fliegen
INFORM,<ähm> ich <häs> kenne den Hannover <äh> den Hannoveraner Flughafen noch nicht
DELIBERATE,elfter und zwölfter
FEEDBACK_POSITIVE,okay ja genau
INIT,dann <ähm> fahren wir mit dem Zug oder wollen Sie fliegen
INFORM,<ähm> ich <häs> kenne den Hannover <äh> den Hannoveraner Flughafen noch nicht
SUGGEST,also ich denke ich würde ganz gern mal fliegen
FEEDBACK_POSITIVE,okay ja genau
INIT,dann <ähm> fahren wir mit dem Zug oder wollen Sie fliegen
INFORM,<ähm> ich <häs> kenne den Hannover <äh> den Hannoveraner Flughafen noch nicht
SUGGEST,also ich denke ich würde ganz gern mal fliegen
REQUEST_COMMENT,<äh> haben Sie da was rausgesucht
INIT,dann <ähm> fahren wir mit dem Zug oder wollen Sie fliegen
INFORM,<ähm> ich <häs> kenne den Hannover <äh> den Hannoveraner Flughafen noch nicht
SUGGEST,also ich denke ich würde ganz gern mal fliegen
REQUEST_COMMENT,<äh> haben Sie da was rausgesucht
ACCEPT,ja gut
INFORM,<ähm> ich <häs> kenne den Hannover <äh> den Hannoveraner Flughafen noch nicht
SUGGEST,also ich denke ich würde ganz gern mal fliegen
REQUEST_COMMENT,<äh> haben Sie da was rausgesucht
ACCEPT,ja gut
INFORM,also von München bis Hannover mhm das Ganze dauert siebzig Minuten
SUGGEST,also ich denke ich würde ganz gern mal fliegen
REQUEST_COMMENT,<äh> haben Sie da was rausgesucht
ACCEPT,ja gut
INFORM,also von München bis Hannover mhm das Ganze dauert siebzig Minuten
INFORM,und es geht stündlich ein Flug immer zur zwanzig Minuten nach der vollen Stunde
REQUEST_COMMENT,<äh> haben Sie da was rausgesucht
ACCEPT,ja gut
INFORM,also von München bis Hannover mhm das Ganze dauert siebzig Minuten
INFORM,und es geht stündlich ein Flug immer zur zwanzig Minuten nach der vollen Stunde
SUGGEST,gut dann würde ich doch sagen nehmen wir den um zwanzig nach zehn
ACCEPT,ja gut
INFORM,also von München bis Hannover mhm das Ganze dauert siebzig Minuten
INFORM,und es geht stündlich ein Flug immer zur zwanzig Minuten nach der vollen Stunde
SUGGEST,gut dann würde ich doch sagen nehmen wir den um zwanzig nach zehn
GIVE_REASON,weil man muß ja ein Stündchen vorher da sein
INFORM,also von München bis Hannover mhm das Ganze dauert siebzig Minuten
INFORM,und es geht stündlich ein Flug immer zur zwanzig Minuten nach der vollen Stunde
SUGGEST,gut dann würde ich doch sagen nehmen wir den um zwanzig nach zehn
GIVE_REASON,weil man muß ja ein Stündchen vorher da sein
GIVE_REASON,<äh> <häs> und dann sind wir relativ <häs> pünktlich zum Mittagessen in Hannover
INFORM,und es geht stündlich ein Flug immer zur zwanzig Minuten nach der vollen Stunde
SUGGEST,gut dann würde ich doch sagen nehmen wir den um zwanzig nach zehn
GIVE_REASON,weil man muß ja ein Stündchen vorher da sein
GIVE_REASON,<äh> <häs> und dann sind wir relativ <häs> pünktlich zum Mittagessen in Hannover
NOT_CLASSIFIABLE,also
SUGGEST,gut dann würde ich doch sagen nehmen wir den um zwanzig nach zehn
GIVE_REASON,weil man muß ja ein Stündchen vorher da sein
GIVE_REASON,<äh> <häs> und dann sind wir relativ <häs> pünktlich zum Mittagessen in Hannover
NOT_CLASSIFIABLE,also
BACKCHANNEL,mhm
GIVE_REASON,weil man muß ja ein Stündchen vorher da sein
GIVE_REASON,<äh> <häs> und dann sind wir relativ <häs> pünktlich zum Mittagessen in Hannover
NOT_CLASSIFIABLE,also
BACKCHANNEL,mhm
BACKCHANNEL,mhm
GIVE_REASON,<äh> <häs> und dann sind wir relativ <häs> pünktlich zum Mittagessen in Hannover
NOT_CLASSIFIABLE,also
BACKCHANNEL,mhm
BACKCHANNEL,mhm
ACCEPT,genau
NOT_CLASSIFIABLE,also
BACKCHANNEL,mhm
BACKCHANNEL,mhm
ACCEPT,genau
BACKCHANNEL,mhm
BACKCHANNEL,mhm
BACKCHANNEL,mhm
ACCEPT,genau
BACKCHANNEL,mhm
